iter	Passed	Remaining
0	208	207840
1	225	112396
2	241	80336
3	258	64292
4	264	52559
5	281	46669
6	298	42285
7	314	39014
8	334	36809
9	352	34892
10	373	33570
11	395	32529
12	415	31560
13	433	30562
14	454	29855
15	475	29256
16	495	28665
17	513	27987
18	530	27398
19	548	26863
20	565	26349
21	583	25933
22	594	25256
23	611	24876
24	631	24609
25	647	24263
26	664	23943
27	681	23666
28	698	23396
29	715	23140
30	732	22896
31	749	22678
32	767	22496
33	786	22346
34	807	22253
35	824	22080
36	841	21910
37	860	21779
38	882	21756
39	905	21734
40	927	21696
41	949	21650
42	967	21523
43	984	21381
44	1001	21253
45	1018	21129
46	1035	21003
47	1053	20889
48	1071	20788
49	1089	20696
50	1107	20602
51	1126	20541
52	1147	20497
53	1166	20427
54	1185	20372
55	1203	20291
56	1221	20210
57	1239	20130
58	1257	20051
59	1273	19957
60	1290	19867
61	1307	19787
62	1325	19715
63	1342	19638
64	1360	19572
65	1377	19499
66	1395	19436
67	1412	19365
68	1429	19291
69	1446	19216
70	1464	19156
71	1482	19112
72	1500	19051
73	1518	18996
74	1537	18956
75	1554	18904
76	1573	18857
77	1592	18821
78	1610	18780
79	1631	18765
80	1651	18732
81	1668	18679
82	1685	18626
83	1703	18576
84	1721	18529
85	1738	18472
86	1755	18421
87	1773	18384
88	1790	18332
89	1808	18286
90	1826	18246
91	1843	18190
92	1861	18150
93	1878	18107
94	1895	18059
95	1912	18013
96	1930	17973
97	1948	17932
98	1969	17922
99	1990	17912
100	2008	17880
101	2027	17848
102	2045	17814
103	2062	17770
104	2080	17735
105	2098	17701
106	2117	17668
107	2136	17642
108	2154	17609
109	2173	17587
110	2191	17555
111	2210	17527
112	2228	17495
113	2246	17457
114	2263	17417
115	2280	17378
116	2298	17343
117	2316	17312
118	2334	17281
119	2351	17245
120	2368	17204
121	2385	17168
122	2403	17137
123	2420	17102
124	2438	17069
125	2456	17037
126	2473	17004
127	2491	16972
128	2507	16933
129	2525	16898
130	2542	16865
131	2559	16832
132	2577	16801
133	2594	16768
134	2611	16730
135	2629	16703
136	2647	16674
137	2665	16647
138	2682	16614
139	2698	16577
140	2715	16544
141	2732	16511
142	2751	16490
143	2768	16458
144	2784	16421
145	2802	16393
146	2820	16364
147	2837	16333
148	2854	16302
149	2871	16272
150	2888	16242
151	2908	16226
152	2928	16213
153	2948	16195
154	2967	16179
155	2986	16158
156	3005	16138
157	3023	16111
158	3041	16089
159	3060	16065
160	3077	16039
161	3094	16007
162	3111	15977
163	3128	15945
164	3144	15914
165	3162	15887
166	3178	15856
167	3196	15828
168	3213	15800
169	3230	15771
170	3247	15744
171	3264	15716
172	3281	15687
173	3299	15661
174	3316	15633
175	3334	15610
176	3351	15581
177	3368	15557
178	3385	15528
179	3403	15505
180	3423	15490
181	3442	15471
182	3461	15452
183	3478	15428
184	3495	15400
185	3514	15379
186	3531	15355
187	3548	15326
188	3565	15298
189	3582	15272
190	3599	15246
191	3616	15220
192	3636	15207
193	3657	15193
194	3676	15177
195	3701	15182
196	3720	15164
197	3738	15144
198	3760	15137
199	3788	15154
200	3811	15150
201	3833	15142
202	3855	15136
203	3875	15123
204	3900	15127
205	3924	15126
206	3966	15196
207	3993	15205
208	4018	15210
209	4040	15201
